,Unnamed: 0,i_price,i_name,i_area,i_date
0,0,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 2.250.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kamar kost nyaman, Asri dan letak strategis ditengah kota</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Cilandak, Jakarta Selatan</span>","<span class=""zLvFQ""><span>18 Okt</span></span>"
1,1,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.750.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kost Absolute Radio Dalam (Khusus Pria)</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Kebayoran Baru, Jakarta Selatan</span>","<span class=""zLvFQ""><span>3 hari yang lalu</span></span>"
2,2,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.000.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">NABILA KOST WANITA NYAMAN</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Pancoran, Jakarta Selatan</span>","<span class=""zLvFQ""><span>11 Okt</span></span>"
3,3,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 2.000.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Guest House Kos Kost Kamar Nyaman Kalibata Duren tiga mampang</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Pancoran, Jakarta Selatan</span>","<span class=""zLvFQ""><span>18 Okt</span></span>"
4,4,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.000.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kost bebas kemang</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Mampang Prapatan, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
5,5,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 2.000.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Sewa Kamar kost kosan</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Kebayoran Lama, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
6,6,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 2.500.000.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Di Jual Rumah dan Kos kosan Di Cipete Jakarta Selatan</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Cilandak, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
7,7,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.300.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kost campur / bebas</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Cilandak, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
8,8,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 2.250.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kebayoran Indah Pavilion/Kos keluarga/individu baik baik</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Kebayoran Lama, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
9,9,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.800.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kost di pejaten Jl rambutan Jaksel</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Pasar Minggu, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
10,10,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.300.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Rumah kost bahari</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Cilandak, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
11,11,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 750.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kamar kost kosong</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Pancoran, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
12,12,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.500.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kost Puri Melati Tipe B Pasar Minggu Jakarta Selatan</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Pasar Minggu, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
13,13,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.100.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Di sewakan kamar kos aman dan nyaman</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Kebayoran Lama, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
14,14,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.100.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kos Ibu Siti Badariah</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Pasar Minggu, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
15,15,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.500.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Khusus Putri , Kost Nyaman Di Mampang Bangka Kemang</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Kebayoran Baru, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
16,16,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.200.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kost Nyaman Karyawan Pria</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Mampang Prapatan, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
17,17,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 700.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Terima kost Putri harga promo</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Kebayoran Lama, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
18,18,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 2.000.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kost Eksklusif Bintaro seperti hotel</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Pesanggrahan, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
19,19,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.550.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kamar kos putri</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Cilandak, Jakarta Selatan</span>","<span class=""zLvFQ""><span>Hari ini</span></span>"
20,20,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.550.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kost Parkir Luas Satpam 24 Jam Dekat ITC Fatmawati &amp; Pondok Indah Mall</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Kebayoran Baru, Jakarta Selatan</span>","<span class=""zLvFQ""><span>11 Jun</span></span>"
21,21,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.750.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">indekost full furnitured pasar minggu 1.8 jt all include listrik</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Pasar Minggu, Jakarta Selatan</span>","<span class=""zLvFQ""><span>25 Agu</span></span>"
22,22,"<span class=""_89yzn"" data-aut-id=""itemPrice"">Rp 1.200.000</span>","<span class=""_2tW1I"" data-aut-id=""itemTitle"">Kost Wanita di Jaksel Pondok Pinang AC Komplit</span>","<span class=""tjgMj"" data-aut-id=""item-location"">Kebayoran Lama, Jakarta Selatan</span>","<span class=""zLvFQ""><span>03 Sep</span></span>"
